variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4,plaintext_cite5,bibtex_cite5
com_agriculture_102,1979-2018,Indicator for whether the congressperson is a member of the agriculture committee,Indicator for whether the congressperson is a member of the agriculture committee. This is committee code 102 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_appropriations_104,1979-2018,Indicator for whether the congressperson is a member of the appropriations committee,Indicator for whether the congressperson is a member of the agriculture committee. This is committee code 104 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_mil_natsec_106,1979-2018,Indicator for whether the congressperson is a member of the armed services committee,"Indicator for whether the congressperson is a member of the armed services. The name of the committee was originally the armed services committee during the 103rd Congress, but was then renamed the national security committee (between the 104th and 108th Congress). But its name was changed back to “armed services” during the 109th committee. This is committee code 106 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_finserv_113,1979-2018,Indicator for whether the congressperson is a member of the financial services committee,"Indicator for whether the congressperson is a member of the financial services committee. The name of the committee was previously the banking, finance, and urban affairs committee (during the 103rd Congress), and the banking and financial services committee (between the 104th and 106th Congress). Its name was changed to “financial services” after the 106th Congress, and has retained this name ever since. This is committee code 113 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_budget_115,1979-2018,Indicator for whether the congressperson is a member of the budget committee,Indicator for whether the congressperson is a member of the budget committee. This is committee code 115 from Stewart and Woon.,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_edu_work_124,1979-2018,Indicator for whether the congressperson is a member of the committee on education and labor.,"Indicator for whether the congressperson is a member of the committee on education and labor. This committee was the “education and labor committee” during the 103rd Congress. Then, its name was changed to the committee on economic and educational opportunities (during the 104th Congress), then to the committee on education and the workforce (between the 105th and 109th Congress), then back to the committee on education and labor (between the 110th and 111th Congress), then to the committee on education and the workforce (between the 112th and 115th Congress), and then back to the committee on education and labor (since the 116th Congress). This is committee code 124 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_energy_commerce_128,1979-2018,Indicator for whether the congressperson is a member of the energy and commerce committee.,"Indicator for whether the congressperson is a member of the energy and commerce committee. This committee was the energy and commerce committee (during the 103rd Congress), and then renamed the commerce committee (between the 104th and 106th Congress), and then renamed back to the “energy and commerce” committee (during the 107th Congress). This is committee code 128 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_intl_rel_134,1979-2018,Indicator for whether the congressperson is a member of the foreign affairs committee.,"Indicator for whether the congressperson is a member of the foreign affairs committee. This committee was the foreign affairs committee (during the 103rd Congress), then renamed the international relations committee (between the 104th and 109th Congress), and then renamed back to the “foreign affairs” committee (during the 110th Congress). This is committee code 134 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_gov_ops_138,1979-2018,Indicator for whether the congressperson is a member of the oversight and government reform committee.,"Indicator for whether the congressperson is a member of the oversight and government reform committee. This committee was the government operations committee (during the 103rd Congress), then renamed the government reform and oversight committee (between the 104th and 109th Congress), and then renamed the “oversight and government reform” committee (during the 110th Congress). This is committee code 138 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
com_house_admin_142,1979-2018,Indicator for whether the congressperson is a member of the house administration committee.,"Indicator for whether the congressperson is a member of the oversight and house administration committee. This committee was the government operations committee (during the 103rd Congress), then renamed the house oversight committee (between the 104th and 108th Congress), and then renamed back to the “house administration” committee (during the 109th Congress). This is committee code 142 from Stewart and Woon.","Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
",Government,"Charles Stewart III and Jonathan Woon. Congressional Committee Assignments, 103rd to 114th Congresses, 1993--2017: House of Representatives, 2017.
","@article{stewart2017congressional,
  title={Congressional committee assignments, 103rd to 114th congresses, 1993--2017},
  author={Stewart, Charles and Woon, Jonathan},
  journal={Senate, June},
  volume={24},
  year={2017}
}",NA,NA,NA,NA,NA,NA,NA,NA
