rowid,id,age,occup,gender,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
1,81355306,56_75,retired,female,visit,taxi,1_3,3.368789637,10,convinient,1,0,0,1,bad,bad,good,good,bad,bad,agree
2,84299385,18_25,student,male,education,moto,4_7,2.120537005,10,cost convinient,0,4,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
3,84733115,18_25,student,female,education,moto,8_10,0.014953883,45,convinient,1,3,1,0,verygood,good,good,good,good,good,disagree
4,81532595,18_25,student,male,education,walk,17_20,0.03641111,5,cost timesaving other,0,3,0,0,bad,bad,neutral,neutral,neutral,neutral,disagree
5,84300298,18_25,private,female,work,moto,4_7,0.712676665,20,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
6,80606769,18_25,student,male,education,moto,4_7,0.942681238,5,convinient,2,2,1,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
7,84300570,18_25,student,female,shopping,walk,4_7,0.139934976,10,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
8,84300732,18_25,student,female,education,moto,4_7,0.520095386,5,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
9,84300838,18_25,student,female,education,walk,8_10,0.038762446,3,cost convinient,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
10,84301421,18_25,student,male,education,moto,4_7,4.822323388,15,cost convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
11,84301075,18_25,student,male,education,moto,4_7,3.325261553,20,cost convinient,0,3,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
12,84094497,18_25,fdi,male,work,moto,4_7,3.381591196,25,other,1,4,1,0,good,good,good,good,good,good,disagree
13,81279413,18_25,student,female,visit,moto,1_3,1.576121088,15,timesaving,0,1,1,0,bad,bad,bad,neutral,bad,bad,disagree
14,81278782,18_25,student,male,visit,taxi,1_3,3.591203772,20,timesaving,0,1,1,0,bad,bad,good,good,bad,bad,strongdisagree
15,77341234,18_25,student,female,education,walk,11_13,0.934959578,10,other,0,2,0,0,verybad,neutral,good,bad,bad,good,disagree
16,77343993,56_75,retired,female,visit,moto,1_3,3.295272542,10,cost convinient timesaving,0,3,0,0,bad,bad,good,good,bad,bad,agree
17,77347359,18_25,student,female,education,bus,4_7,0,15,other,0,0,0,0,verygood,good,neutral,good,good,good,neutral
18,77347518,18_25,student,female,education,ebike,4_7,1.52E-04,20,convinient,0,5,1,1,verybad,bad,neutral,good,bad,bad,disagree
19,77348874,18_25,student,female,work,bus,14_16,3.764380012,15,cost,0,2,0,0,verybad,verybad,neutral,neutral,neutral,bad,neutral
20,77351349,18_25,student,female,education,moto,17_20,0.970846874,15,convinient,0,1,0,0,neutral,neutral,neutral,neutral,neutral,verybad,neutral
21,77446418,18_25,student,male,visit,moto,1_3,0.943535387,10,convinient,0,1,0,0,neutral,bad,bad,bad,bad,bad,neutral
22,77456932,18_25,student,female,work,moto,14_16,0.20061357,10,convinient,0,2,1,0,bad,bad,neutral,good,bad,bad,neutral
23,77714503,56_75,retired,male,shopping,walk,8_10,0.563430636,4,convinient,1,2,0,0,bad,verybad,neutral,good,bad,bad,agree
24,77713486,18_25,student,male,education,moto,8_10,0.162843132,3,cost convinient timesaving,0,0,0,0,bad,bad,neutral,neutral,bad,verybad,neutral
25,77713131,26_35,state,male,work,moto,8_10,0.620630952,3,cost convinient timesaving,0,2,0,0,verybad,verybad,neutral,neutral,verybad,verybad,agree
26,77712544,26_35,private,male,work,moto,17_20,0.623257762,5,cost convinient timesaving,0,4,0,0,bad,bad,neutral,neutral,bad,bad,agree
27,77517825,18_25,student,female,education,moto,4_7,1.833081234,10,convinient,0,5,2,1,neutral,good,neutral,neutral,neutral,neutral,disagree
28,77534394,26_35,fdi,male,visit,moto,4_7,8.704123224,35,cost convinient timesaving,0,2,0,0,verybad,verybad,neutral,neutral,verybad,verybad,neutral
29,77535043,18_25,student,female,education,moto,8_10,3.425356749,15,cost convinient timesaving,0,2,0,0,bad,bad,neutral,good,bad,verybad,agree
30,77535951,18_25,student,male,education,moto,8_10,5.106577484,20,cost convinient,0,1,0,0,bad,bad,neutral,neutral,bad,verybad,disagree
31,77536547,18_25,student,female,education,walk,17_20,0.353072636,10,cost,0,0,0,0,bad,bad,neutral,neutral,bad,bad,agree
32,77537412,56_75,retired,female,caring,bus,1_3,13.58835499,80,convinient timesaving,0,2,0,0,neutral,neutral,good,good,neutral,neutral,neutral
33,77538068,36_55,private,female,work,moto,8_10,6.229114896,30,cost convinient timesaving,0,2,0,0,bad,bad,neutral,neutral,bad,bad,neutral
34,77538766,36_55,private,female,work,moto,4_7,5.370696582,45,convinient,1,2,0,0,neutral,neutral,good,good,bad,bad,neutral
35,77539527,18_25,student,female,education,moto,17_20,2.70769586,15,other,0,1,0,0,good,bad,neutral,verygood,bad,neutral,agree
36,77539772,18_25,student,male,education,moto,17_20,1.333672945,10,other,0,1,0,0,good,bad,good,good,bad,bad,disagree
37,77541262,18_25,student,female,work,moto,8_10,6.031065121,45,other,1,2,1,1,neutral,bad,good,good,neutral,bad,strongagree
38,77542794,18_25,student,male,education,moto,17_20,5.731813945,15,other,0,2,0,0,good,verybad,neutral,neutral,good,neutral,disagree
39,77573980,26_35,private,female,work,moto,17_20,4.01748363,15,convinient,0,1,0,0,neutral,bad,neutral,neutral,neutral,good,disagree
40,77574187,18_25,student,female,work,moto,17_20,1.709612294,15,convinient,0,2,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
41,77574534,18_25,private,female,work,moto,11_13,0.976469306,15,other,0,2,0,0,neutral,verybad,good,bad,bad,bad,disagree
42,77574855,18_25,student,male,education,moto,11_13,1.666403428,15,cost,0,1,1,0,neutral,bad,neutral,neutral,neutral,neutral,agree
43,77575042,18_25,student,male,education,moto,11_13,0.279902465,10,cost,0,1,1,0,neutral,bad,neutral,neutral,neutral,neutral,disagree
44,77575098,18_25,student,male,education,walk,17_20,2.24986097,10,other,0,1,0,0,neutral,verybad,neutral,neutral,neutral,neutral,agree
